136;LineString(1574.08 23612.3, 15274.08 37312.3)
137;LineString(1574.08 23512.3, 15374.08 37312.3)
138;LineString(1574.08 23412.3, 15474.08 37312.3)
139;LineString(1574.08 23312.3, 15574.08 37312.3)
140;LineString(1574.08 23212.3, 15674.08 37312.3)
141;LineString(1574.08 23112.3, 15774.08 37312.3)
142;LineString(1574.08 23012.3, 15874.08 37312.3)
143;LineString(1574.08 22912.3, 15974.08 37312.3)
144;LineString(1574.08 22812.3, 16074.08 37312.3)
145;LineString(1574.08 22712.3, 16174.08 37312.3)
146;LineString(1574.08 22612.3, 16274.08 37312.3)
147;LineString(1574.08 22512.3, 16374.08 37312.3)
148;LineString(1574.08 22412.3, 16474.08 37312.3)
149;LineString(1574.08 22312.3, 16574.08 37312.3)
150;LineString(1574.08 22212.3, 16674.08 37312.3)
151;LineString(1574.08 22112.3, 16774.08 37312.3)
152;LineString(1574.08 22012.3, 16874.08 37312.3)
153;LineString(1574.08 21912.3, 16974.08 37312.3)
154;LineString(1574.08 21812.3, 17074.08 37312.3)
155;LineString(1574.08 21712.3, 17174.08 37312.3)
156;LineString(1574.08 21612.3, 17274.08 37312.3)
157;LineString(1574.08 21512.3, 17374.08 37312.3)
158;LineString(1574.08 21412.3, 17474.08 37312.3)
159;LineString(1574.08 21312.3, 17574.08 37312.3)
160;LineString(1574.08 21212.3, 17674.08 37312.3)
161;LineString(1574.08 21112.3, 17774.08 37312.3)
162;LineString(1574.08 21012.3, 17874.08 37312.3)
163;LineString(1574.08 20912.3, 17974.08 37312.3)
164;LineString(1574.08 20812.3, 18074.08 37312.3)
165;LineString(1574.08 20712.3, 18174.08 37312.3)
166;LineString(1574.08 20612.3, 18274.08 37312.3)
167;LineString(1574.08 20512.3, 18374.08 37312.3)
168;LineString(1574.08 20412.3, 18474.08 37312.3)
169;LineString(1574.08 20312.3, 18574.08 37312.3)
170;LineString(1574.08 20212.3, 18674.08 37312.3)
171;LineString(1574.08 20112.3, 18774.08 37312.3)
172;LineString(1574.08 20012.3, 18874.08 37312.3)
173;LineString(1574.08 19912.3, 18974.08 37312.3)
174;LineString(1574.08 19812.3, 19074.08 37312.3)
175;LineString(1574.08 19712.3, 19174.08 37312.3)
176;LineString(1574.08 19612.3, 19274.08 37312.3)
177;LineString(1574.08 19512.3, 19374.08 37312.3)
178;LineString(1574.08 19412.3, 19474.08 37312.3)
179;LineString(1574.08 19312.3, 19574.08 37312.3)
180;LineString(1574.08 19212.3, 19674.08 37312.3)
181;LineString(1574.08 19112.3, 19774.08 37312.3)
182;LineString(1574.08 19012.3, 19874.08 37312.3)
183;LineString(1574.08 18912.3, 19974.08 37312.3)
184;LineString(1574.08 18812.3, 20074.08 37312.3)
185;LineString(1574.08 18712.3, 20174.08 37312.3)
186;LineString(1574.08 18612.3, 20274.08 37312.3)
187;LineString(1574.08 18512.3, 20374.08 37312.3)
188;LineString(1574.08 18412.3, 20474.08 37312.3)
189;LineString(1574.08 18312.3, 20574.08 37312.3)
190;LineString(1574.08 18212.3, 20674.08 37312.3)
191;LineString(1574.08 18112.3, 20774.08 37312.3)
192;LineString(1574.08 18012.3, 20874.08 37312.3)
193;LineString(1574.08 17912.3, 20974.08 37312.3)
194;LineString(1574.08 17812.3, 21074.08 37312.3)
195;LineString(1574.08 17712.3, 21174.08 37312.3)
196;LineString(1574.08 17612.3, 21274.08 37312.3)
197;LineString(1574.08 17512.3, 21374.08 37312.3)
198;LineString(1574.08 17412.3, 21474.08 37312.3)
199;LineString(1574.08 17312.3, 21574.08 37312.3)
200;LineString(1574.08 17212.3, 21674.08 37312.3)
201;LineString(1574.08 17112.3, 21774.08 37312.3)
202;LineString(1574.08 17012.3, 21874.08 37312.3)
203;LineString(1574.08 16912.3, 21974.08 37312.3)
204;LineString(1574.08 16812.3, 22074.08 37312.3)
205;LineString(1574.08 16712.3, 22174.08 37312.3)
206;LineString(1574.08 16612.3, 22274.08 37312.3)
207;LineString(1574.08 16512.3, 22374.08 37312.3)
208;LineString(1574.08 16412.3, 22474.08 37312.3)
209;LineString(1574.08 16312.3, 22574.08 37312.3)
210;LineString(1574.08 16212.3, 22674.08 37312.3)
211;LineString(1574.08 16112.3, 22774.08 37312.3)
212;LineString(1574.08 16012.3, 22874.08 37312.3)
213;LineString(1574.08 15912.3, 22974.08 37312.3)
214;LineString(1574.08 15812.3, 23074.08 37312.3)
215;LineString(1574.08 15712.3, 23174.08 37312.3)
216;LineString(1574.08 15612.3, 23274.08 37312.3)
217;LineString(1574.08 15512.3, 23374.08 37312.3)
218;LineString(1574.08 15412.3, 23474.08 37312.3)
219;LineString(1574.08 15312.3, 23574.08 37312.3)
220;LineString(1574.08 15212.3, 23674.08 37312.3)
221;LineString(1574.08 15112.3, 23774.08 37312.3)
222;LineString(1574.08 15012.3, 23874.08 37312.3)
223;LineString(1574.08 14912.3, 23974.08 37312.3)
224;LineString(1574.08 14812.3, 24074.08 37312.3)
225;LineString(1574.08 14712.3, 24174.08 37312.3)
226;LineString(1574.08 14612.3, 24274.08 37312.3)
227;LineString(1574.08 14512.3, 24374.08 37312.3)
228;LineString(1574.08 14412.3, 24474.08 37312.3)
229;LineString(1574.08 14312.3, 24574.08 37312.3)
230;LineString(1574.08 14212.3, 24674.08 37312.3)
231;LineString(1574.08 14112.3, 24774.08 37312.3)
232;LineString(1574.08 14012.3, 24874.08 37312.3)
233;LineString(1574.08 13912.3, 24974.08 37312.3)
234;LineString(1574.08 13812.3, 25074.08 37312.3)
235;LineString(1574.08 13712.3, 25174.08 37312.3)
236;LineString(1574.08 13612.3, 25274.08 37312.3)
237;LineString(1574.08 13512.3, 25374.08 37312.3)
238;LineString(1574.08 13412.3, 25474.08 37312.3)
239;LineString(1574.08 13312.3, 25574.08 37312.3)
240;LineString(1574.08 13212.3, 25674.08 37312.3)
241;LineString(1574.08 13112.3, 25774.08 37312.3)
242;LineString(1574.08 13012.3, 25874.08 37312.3)
243;LineString(1574.08 12912.3, 25974.08 37312.3)
244;LineString(1574.08 12812.3, 26074.08 37312.3)
245;LineString(1574.08 12712.3, 26174.08 37312.3)
246;LineString(1574.08 12612.3, 26274.08 37312.3)
247;LineString(1574.08 12512.3, 26374.08 37312.3)
248;LineString(1574.08 12412.3, 26474.08 37312.3)
249;LineString(1574.08 12312.3, 26574.08 37312.3)
250;LineString(1574.08 12212.3, 26674.08 37312.3)
251;LineString(1574.08 12112.3, 26774.08 37312.3)
252;LineString(1574.08 12012.3, 26874.08 37312.3)
253;LineString(1574.08 11912.3, 26974.08 37312.3)
254;LineString(1574.08 11812.3, 27074.08 37312.3)
255;LineString(1574.08 11712.3, 27174.08 37312.3)
256;LineString(1574.08 11612.3, 27274.08 37312.3)
257;LineString(1574.08 11512.3, 27374.08 37312.3)
258;LineString(1574.08 11412.3, 27474.08 37312.3)
259;LineString(1574.08 11312.3, 27574.08 37312.3)
260;LineString(1574.08 11212.3, 27674.08 37312.3)
261;LineString(1574.08 11112.3, 27774.08 37312.3)
262;LineString(1574.08 11012.3, 27874.08 37312.3)
263;LineString(1574.08 10912.3, 27974.08 37312.3)
264;LineString(1574.08 10812.3, 28074.08 37312.3)
265;LineString(1574.08 10712.3, 28174.08 37312.3)
266;LineString(1574.08 10612.3, 28274.08 37312.3)
267;LineString(1574.08 10512.3, 28374.08 37312.3)
268;LineString(1574.08 10412.3, 28474.08 37312.3)
269;LineString(1574.08 10312.3, 28574.08 37312.3)
270;LineString(1574.08 10212.3, 28674.08 37312.3)
271;LineString(1574.08 10112.3, 28774.08 37312.3)
272;LineString(1574.08 10012.3, 28874.08 37312.3)
273;LineString(1574.08 9912.3, 28974.08 37312.3)
274;LineString(1574.08 9812.3, 29074.08 37312.3)
275;LineString(1574.08 9712.3, 29174.08 37312.3)
276;LineString(1574.08 9612.3, 29274.08 37312.3)
277;LineString(1574.08 9512.3, 29374.08 37312.3)
278;LineString(1574.08 9412.3, 29474.08 37312.3)
279;LineString(1574.08 9312.3, 29574.08 37312.3)
280;LineString(1574.08 9212.3, 29674.08 37312.3)
281;LineString(1574.08 9112.3, 29774.08 37312.3)
282;LineString(1574.08 9012.3, 29874.08 37312.3)
283;LineString(1574.08 8912.3, 29974.08 37312.3)
284;LineString(1574.08 8812.3, 30074.08 37312.3)
285;LineString(1574.08 8712.3, 30174.08 37312.3)
286;LineString(1574.08 8612.3, 30274.08 37312.3)
287;LineString(1574.08 8512.3, 30374.08 37312.3)
288;LineString(1574.08 8412.3, 30474.08 37312.3)
289;LineString(1574.08 8312.3, 30574.08 37312.3)
290;LineString(1574.08 8212.3, 30674.08 37312.3)
291;LineString(1574.08 8112.3, 30774.08 37312.3)
292;LineString(1574.08 8012.3, 30874.08 37312.3)
293;LineString(1574.08 7912.3, 30974.08 37312.3)
294;LineString(1574.08 7812.3, 31074.08 37312.3)
295;LineString(1574.08 7712.3, 31174.08 37312.3)
296;LineString(1574.08 7612.3, 31274.08 37312.3)
297;LineString(1574.08 7512.3, 31374.08 37312.3)
298;LineString(1574.08 7412.3, 31474.08 37312.3)
299;LineString(1574.08 7312.3, 31574.08 37312.3)
300;LineString(1574.08 7212.3, 31674.08 37312.3)
301;LineString(1574.08 7112.3, 31774.08 37312.3)
302;LineString(1574.08 7012.3, 31874.08 37312.3)
303;LineString(1574.08 6912.3, 31974.08 37312.3)
304;LineString(1574.08 6812.3, 32074.08 37312.3)
305;LineString(1574.08 6712.3, 32174.08 37312.3)
306;LineString(1574.08 6612.3, 32274.08 37312.3)
307;LineString(1574.08 6512.3, 32374.08 37312.3)
308;LineString(1574.08 6412.3, 32474.08 37312.3)
309;LineString(1574.08 6312.3, 32574.08 37312.3)
310;LineString(1574.08 6212.3, 32674.08 37312.3)
311;LineString(1574.08 6112.3, 32774.08 37312.3)
312;LineString(1574.08 6012.3, 32874.08 37312.3)
313;LineString(1574.08 5912.3, 32974.08 37312.3)
314;LineString(1574.08 5812.3, 33074.08 37312.3)
315;LineString(1574.08 5712.3, 33174.08 37312.3)
316;LineString(1574.08 5612.3, 33274.08 37312.3)
317;LineString(1574.08 5512.3, 33374.08 37312.3)
318;LineString(1574.08 5412.3, 33474.08 37312.3)
319;LineString(1574.08 5312.3, 33574.08 37312.3)
320;LineString(1574.08 5212.3, 33674.08 37312.3)
321;LineString(1574.08 5112.3, 33774.08 37312.3)
322;LineString(1574.08 5012.3, 33874.08 37312.3)
323;LineString(1574.08 4912.3, 33974.08 37312.3)
324;LineString(1574.08 4812.3, 34074.08 37312.3)
325;LineString(1574.08 4712.3, 34174.08 37312.3)
326;LineString(1574.08 4612.3, 34274.08 37312.3)
327;LineString(1574.08 4512.3, 34374.08 37312.3)
328;LineString(1574.08 4412.3, 34474.08 37312.3)
329;LineString(1574.08 4312.3, 34574.08 37312.3)
330;LineString(1674.08 4312.3, 34574.08 37212.3)
331;LineString(1774.08 4312.3, 34574.08 37112.3)
332;LineString(1874.08 4312.3, 34574.08 37012.3)
333;LineString(1974.08 4312.3, 34574.08 36912.3)
334;LineString(2074.08 4312.3, 34574.08 36812.3)
335;LineString(2174.08 4312.3, 34574.08 36712.3)
336;LineString(2274.08 4312.3, 34574.08 36612.3)
337;LineString(2374.08 4312.3, 34574.08 36512.3)
338;LineString(2474.08 4312.3, 34574.08 36412.3)
339;LineString(2574.08 4312.3, 34574.08 36312.3)
340;LineString(2674.08 4312.3, 34574.08 36212.3)
341;LineString(2774.08 4312.3, 34574.08 36112.3)
342;LineString(2874.08 4312.3, 34574.08 36012.3)
343;LineString(2974.08 4312.3, 34574.08 35912.3)
344;LineString(3074.08 4312.3, 34574.08 35812.3)
345;LineString(3174.08 4312.3, 34574.08 35712.3)
346;LineString(3274.08 4312.3, 34574.08 35612.3)
347;LineString(3374.08 4312.3, 34574.08 35512.3)
348;LineString(3474.08 4312.3, 34574.08 35412.3)
349;LineString(3574.08 4312.3, 34574.08 35312.3)
350;LineString(3674.08 4312.3, 34574.08 35212.3)
351;LineString(3774.08 4312.3, 34574.08 35112.3)
352;LineString(3874.08 4312.3, 34574.08 35012.3)
353;LineString(3974.08 4312.3, 34574.08 34912.3)
354;LineString(4074.08 4312.3, 34574.08 34812.3)
355;LineString(4174.08 4312.3, 34574.08 34712.3)
356;LineString(4274.08 4312.3, 34574.08 34612.3)
357;LineString(4374.08 4312.3, 34574.08 34512.3)
358;LineString(4474.08 4312.3, 34574.08 34412.3)
359;LineString(4574.08 4312.3, 34574.08 34312.3)
360;LineString(4674.08 4312.3, 34574.08 34212.3)
361;LineString(4774.08 4312.3, 34574.08 34112.3)
362;LineString(4874.08 4312.3, 34574.08 34012.3)
363;LineString(4974.08 4312.3, 34574.08 33912.3)
364;LineString(5074.08 4312.3, 34574.08 33812.3)
365;LineString(5174.08 4312.3, 34574.08 33712.3)
366;LineString(5274.08 4312.3, 34574.08 33612.3)
367;LineString(5374.08 4312.3, 34574.08 33512.3)
368;LineString(5474.08 4312.3, 34574.08 33412.3)
369;LineString(5574.08 4312.3, 34574.08 33312.3)
370;LineString(5674.08 4312.3, 34574.08 33212.3)
371;LineString(5774.08 4312.3, 34574.08 33112.3)
372;LineString(5874.08 4312.3, 34574.08 33012.3)
373;LineString(5974.08 4312.3, 34574.08 32912.3)
374;LineString(6074.08 4312.3, 34574.08 32812.3)
375;LineString(6174.08 4312.3, 34574.08 32712.3)
376;LineString(6274.08 4312.3, 34574.08 32612.3)
377;LineString(6374.08 4312.3, 34574.08 32512.3)
378;LineString(6474.08 4312.3, 34574.08 32412.3)
379;LineString(6574.08 4312.3, 34574.08 32312.3)
380;LineString(6674.08 4312.3, 34574.08 32212.3)
381;LineString(6774.08 4312.3, 34574.08 32112.3)
382;LineString(6874.08 4312.3, 34574.08 32012.3)
383;LineString(6974.08 4312.3, 34574.08 31912.3)
384;LineString(7074.08 4312.3, 34574.08 31812.3)
385;LineString(7174.08 4312.3, 34574.08 31712.3)
386;LineString(7274.08 4312.3, 34574.08 31612.3)
387;LineString(7374.08 4312.3, 34574.08 31512.3)
388;LineString(7474.08 4312.3, 34574.08 31412.3)
389;LineString(7574.08 4312.3, 34574.08 31312.3)
390;LineString(7674.08 4312.3, 34574.08 31212.3)
391;LineString(7774.08 4312.3, 34574.08 31112.3)
392;LineString(7874.08 4312.3, 34574.08 31012.3)
393;LineString(7974.08 4312.3, 34574.08 30912.3)
394;LineString(8074.08 4312.3, 34574.08 30812.3)
395;LineString(8174.08 4312.3, 34574.08 30712.3)
396;LineString(8274.08 4312.3, 34574.08 30612.3)
